,Make,Model,Battery_(Kwh),Acceleration_in_Secs_(1-100),Top_Speed_(km/h),Range_(km),Efficiency_(Wh/km),Price_in_Germany (€),Make/Model
0,Tesla,Model 3 Long Range Dual Motor,75.0,4.4,233,485,155,60260.0,Tesla Model 3 Long Range Dual Motor
1,BMW,i4 eDrive40,80.7,5.7,190,470,172,58300.0,BMW i4 eDrive40
2,Tesla,Model 3 ,57.5,6.1,225,380,151,48260.0,Tesla Model 3 
3,Dacia,Spring Electric,26.8,15.0,125,170,158,20490.0,Dacia Spring Electric
4,Kia,EV6 GT,72.5,3.5,260,360,201,65990.0,Kia EV6 GT
5,Hyundai,IONIQ 5 Long Range AWD,70.0,5.2,185,370,189,48900.0,Hyundai IONIQ 5 Long Range AWD
6,Polestar,2 Long Range Dual Motor,75.0,4.7,205,395,190,50970.0,Polestar 2 Long Range Dual Motor
7,Mercedes,EQS 450+,107.8,6.2,210,640,168,106374.0,Mercedes EQS 450+
8,Tesla,Model Y Long Range Dual Motor,75.0,5.0,217,435,172,59965.0,Tesla Model Y Long Range Dual Motor
9,Hyundai,IONIQ Electric,38.3,9.7,165,250,153,35350.0,Hyundai IONIQ Electric
10,Skoda,Enyaq iV 80,77.0,8.6,160,420,183,44750.0,Skoda Enyaq iV 80
11,Kia,EV6 Long Range 2WD,72.5,7.3,185,400,181,48990.0,Kia EV6 Long Range 2WD
12,Mercedes,EQA 250,66.5,8.9,160,355,187,47541.0,Mercedes EQA 250
13,BMW,iX xDrive50,105.2,4.6,200,505,208,98000.0,BMW iX xDrive50
14,Renault,Megane E-Tech EV60 220hp,60.0,7.5,160,360,167,41700.0,Renault Megane E-Tech EV60 220hp
15,BMW,i4 M50,80.7,3.9,225,435,186,69900.0,BMW i4 M50
16,Nissan,Ariya 87kWh,87.0,7.6,160,445,196,55000.0,Nissan Ariya 87kWh
17,Hyundai,Kona Electric 64 kWh,64.0,7.9,167,395,162,41850.0,Hyundai Kona Electric 64 kWh
18,BMW,i3 120 Ah,37.9,7.3,150,235,161,39000.0,BMW i3 120 Ah
19,Honda,e ,28.5,9.0,145,170,168,33850.0,Honda e 
20,Tesla,Model Y Performance,75.0,3.7,250,415,181,66965.0,Tesla Model Y Performance
21,Kia,e-Niro 64 kWh,64.0,7.8,167,370,173,39090.0,Kia e-Niro 64 kWh
22,Mercedes,EQS 580 4MATIC,107.8,4.3,210,610,177,135529.0,Mercedes EQS 580 4MATIC
23,Renault,Zoe ZE50 R110,52.0,11.4,135,315,165,31990.0,Renault Zoe ZE50 R110
24,Tesla,Model S Plaid,95.0,2.1,322,560,170,150000.0,Tesla Model S Plaid
25,Peugeot,e-2008 SUV ,45.0,8.5,150,255,176,35450.0,Peugeot e-2008 SUV 
26,Audi,Q4 e-tron 40,76.6,8.5,160,405,189,47500.0,Audi Q4 e-tron 40
27,Kia,EV6 Long Range AWD,72.5,5.2,185,390,186,52890.0,Kia EV6 Long Range AWD
28,MG,ZS EV Long Range,68.3,8.4,175,365,187,37990.0,MG ZS EV Long Range
29,Nissan,Leaf ,39.0,7.9,144,235,166,29990.0,Nissan Leaf 
30,Tesla,Model S Long Range,95.0,3.2,250,585,162,115000.0,Tesla Model S Long Range
31,Lightyear,One ,60.0,10.0,150,575,104,150000.0,Lightyear One 
32,Subaru,Solterra AWD,71.4,7.7,160,375,190,50000.0,Subaru Solterra AWD
33,Peugeot,e-208 ,45.0,8.1,150,285,158,31950.0,Peugeot e-208 
34,Nissan,Leaf e+,59.0,6.9,157,340,174,37550.0,Nissan Leaf e+
35,Volkswagen,ID. Buzz ,77.0,10.0,145,340,226,55000.0,Volkswagen ID. Buzz 
36,Fiat,500e Hatchback 42 kWh,37.3,9.0,150,235,159,27560.0,Fiat 500e Hatchback 42 kWh
37,Hyundai,IONIQ 5 Long Range 2WD,70.0,7.4,185,380,184,45100.0,Hyundai IONIQ 5 Long Range 2WD
38,Mazda,MX-30 ,30.0,9.7,140,170,176,34490.0,Mazda MX-30 
39,Skoda,Enyaq iV 60,58.0,8.7,160,330,176,39650.0,Skoda Enyaq iV 60
40,Toyota,bZ4X FWD,71.4,8.4,160,380,188,47490.0,Toyota bZ4X FWD
41,CUPRA,Born 170 kW - 77 kWh,77.0,7.0,160,450,171,44300.0,CUPRA Born 170 kW - 77 kWh
42,Polestar,2 Long Range Single Motor,75.0,7.4,160,425,176,48500.0,Polestar 2 Long Range Single Motor
43,BMW,iX xDrive40,71.0,6.1,200,350,203,77300.0,BMW iX xDrive40
44,Audi,e-tron GT RS,85.0,3.3,250,405,210,138200.0,Audi e-tron GT RS
45,Volvo,C40 Recharge Twin Pure Electric,75.0,4.7,180,350,214,57650.0,Volvo C40 Recharge Twin Pure Electric
46,Volkswagen,ID.4 Pro Performance,77.0,8.5,160,410,188,44450.0,Volkswagen ID.4 Pro Performance
47,Aiways,U5 ,63.0,7.5,150,330,191,35993.0,Aiways U5 
48,BMW,iX3 ,74.0,6.8,180,385,192,67300.0,BMW iX3 
49,Volvo,XC40 Recharge Pure Electric,67.0,7.4,160,315,213,45080.0,Volvo XC40 Recharge Pure Electric
50,Mercedes,EQB 350 4MATIC,66.5,6.2,160,330,202,57989.0,Mercedes EQB 350 4MATIC
51,Mercedes,EQE 350+,90.6,6.0,160,545,166,70626.0,Mercedes EQE 350+
52,Mercedes,EQC 400 4MATIC,80.0,5.1,180,370,216,66069.0,Mercedes EQC 400 4MATIC
53,Volkswagen,ID.3 Pro,58.0,9.6,160,350,166,35460.0,Volkswagen ID.3 Pro
54,Seres,3 ,52.0,8.9,155,270,193,,Seres 3 
55,Opel,Corsa-e ,45.0,8.1,150,285,158,29900.0,Opel Corsa-e 
56,Lucid,Air Grand Touring,105.0,3.2,270,630,167,150000.0,Lucid Air Grand Touring
57,Jaguar,I-Pace EV400,84.7,4.8,200,380,223,77300.0,Jaguar I-Pace EV400
