nrg_bal,siec,unit,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
FC_TRA_ROAD_E,E7000,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.314 	0.370 
FC_TRA_ROAD_E,E7000,KTOE,AT	1.264 	1.302 	1.299 	1.283 	1.272 	1.233 	1.219 	1.207 	1.236 	1.262 	1.227 	1.163 
FC_TRA_ROAD_E,E7000,KTOE,BA	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,E7000,KTOE,BE	0.009 	0.009 	0.060 	0.232 	0.344 	0.645 	1.083 	2.382 	3.904 	5.873 	8.745 	11.505 
FC_TRA_ROAD_E,E7000,KTOE,BG	6.707 	6.621 	7.223 	3.439 	4.557 	7.395 	4.643 	4.729 	4.530 	3.069 	3.066 	3.123 
FC_TRA_ROAD_E,E7000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,E7000,KTOE,CZ	5.933 	6.277 	5.933 	5.933 	5.761 	5.589 	5.675 	5.933 	5.751 	5.835 	5.935 	6.114 
FC_TRA_ROAD_E,E7000,KTOE,DE	1.548 	1.634 	1.978 	2.494 	3.439 	4.643 	6.793 	9.286 	13.500 	19.518 	28.891 	38.263 
FC_TRA_ROAD_E,E7000,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.603 	2.767 	3.145 	4.329 	8.215 
FC_TRA_ROAD_E,E7000,KTOE,EA19	15.289 	20.142 	22.513 	25.067 	35.773 	41.563 	63.180 	65.661 	85.521 	115.991 	159.383 	206.865 
FC_TRA_ROAD_E,E7000,KTOE,EE	2.064 	1.978 	1.892 	1.892 	1.806 	1.548 	1.462 	1.462 	1.376 	1.462 	1.462 	1.236 
FC_TRA_ROAD_E,E7000,KTOE,EL	0.000 	0.000 	0.000 	0.000 	1.892 	2.064 	2.150 	1.978 	2.086 	2.012 	1.764 	1.675 
FC_TRA_ROAD_E,E7000,KTOE,ES	0.000 	0.000 	0.000 	0.000 	1.892 	2.064 	2.580 	3.439 	4.987 	9.802 	13.328 	17.369 
FC_TRA_ROAD_E,E7000,KTOE,EU27_2020	29.993 	35.018 	41.516 	41.490 	53.142 	61.598 	80.635 	86.321 	106.192 	136.409 	204.643 	282.328 
FC_TRA_ROAD_E,E7000,KTOE,FI	0.000 	0.000 	0.000 	0.000 	0.086 	0.258 	0.430 	0.860 	1.892 	3.955 	6.191 	10.834 
FC_TRA_ROAD_E,E7000,KTOE,FR	0.000 	0.000 	2.304 	3.212 	4.921 	6.937 	9.450 	12.644 	16.547 	20.759 	28.161 	36.482 
FC_TRA_ROAD_E,E7000,KTOE,GE	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,E7000,KTOE,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.086 	0.138 	0.241 
FC_TRA_ROAD_E,E7000,KTOE,HU	0.000 	0.000 	0.000 	0.000 	1.548 	1.462 	1.634 	2.064 	2.064 	2.494 	3.697 	5.245 
FC_TRA_ROAD_E,E7000,KTOE,IE	0.000 	0.000 	0.018 	0.042 	0.056 	0.112 	0.241 	0.379 	0.640 	1.065 	2.331 	3.460 
FC_TRA_ROAD_E,E7000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.093 	0.238 	0.472 	1.070 	1.508 	1.939 	2.444 
FC_TRA_ROAD_E,E7000,KTOE,IT	0.000 	5.245 	4.987 	5.073 	5.675 	5.847 	6.105 	5.933 	7.132 	8.514 	11.742 	16.372 
FC_TRA_ROAD_E,E7000,KTOE,LT	3.783 	3.353 	3.267 	3.525 	3.439 	3.009 	3.009 	3.095 	3.130 	3.156 	3.216 	3.482 
FC_TRA_ROAD_E,E7000,KTOE,LU	0.000 	0.000 	0.001 	0.005 	0.031 	0.047 	0.061 	0.111 	0.157 	0.269 	0.733 	1.481 
